Sample_ID	Unit_ID	R1	R2
ABX-CJ-IRIS-43	Lane_001	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/2B10/2B10_S23_L001_R1_001.fastq.gz	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/2B10/2B10_S23_L001_R2_001.fastq.gz
ABX-CJ-IRIS-43	Lane_002	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/2B10/2B10_S23_L002_R1_001.fastq.gz	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/2B10/2B10_S23_L002_R2_001.fastq.gz
ABX-CJ-IRIS-56	Lane_001	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/2C2/2C2_S24_L001_R1_001.fastq.gz	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/2C2/2C2_S24_L001_R2_001.fastq.gz
ABX-CJ-IRIS-56	Lane_002	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/2C2/2C2_S24_L002_R1_001.fastq.gz	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/2C2/2C2_S24_L002_R2_001.fastq.gz
ABX-CJ-MANG-43	Lane_002	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/4F12/4F12_S63_L002_R1_001.fastq.gz	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/4F12/4F12_S63_L002_R2_001.fastq.gz
ABX-CJ-MANG-43	Lane_001	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/4F12/4F12_S63_L001_R1_001.fastq.gz	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/4F12/4F12_S63_L001_R2_001.fastq.gz
ABX-CJ-MANG-14	Lane_001	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/4F1/4F1_S61_L001_R1_001.fastq.gz	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/4F1/4F1_S61_L001_R2_001.fastq.gz
ABX-CJ-MANG-14	Lane_002	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/4F1/4F1_S61_L002_R1_001.fastq.gz	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/4F1/4F1_S61_L002_R2_001.fastq.gz
ABX-CJ-MANG-29	Lane_002	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/4F9/4F9_S62_L002_R1_001.fastq.gz	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/4F9/4F9_S62_L002_R2_001.fastq.gz
ABX-CJ-MANG-29	Lane_001	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/4F9/4F9_S62_L001_R1_001.fastq.gz	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/4F9/4F9_S62_L001_R2_001.fastq.gz
ABX-CJ-IRIS-29	Lane_002	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/2B7/2B7_S22_L002_R1_001.fastq.gz	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/2B7/2B7_S22_L002_R2_001.fastq.gz
ABX-CJ-IRIS-29	Lane_001	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/2B7/2B7_S22_L001_R1_001.fastq.gz	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/2B7/2B7_S22_L001_R2_001.fastq.gz
ABX-CJ-MANG-56	Lane_001	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/4G4/4G4_S64_L001_R1_001.fastq.gz	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/4G4/4G4_S64_L001_R2_001.fastq.gz
ABX-CJ-MANG-56	Lane_002	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/4G4/4G4_S64_L002_R1_001.fastq.gz	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/4G4/4G4_S64_L002_R2_001.fastq.gz
ABX-CJ-IRIS-14	Lane_001	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/2A11/2A11_S21_L001_R1_001.fastq.gz	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/2A11/2A11_S21_L001_R2_001.fastq.gz
ABX-CJ-IRIS-14	Lane_002	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/2A11/2A11_S21_L002_R1_001.fastq.gz	/common/claytonlab/jhernandez/projects/nih_k01_pilot_aim1/data/shotgun_seq/2A11/2A11_S21_L002_R2_001.fastq.gz
